,artist_name,track_name,year,energy,danceability,loudness,acousticness,speechiness,liveness,valence,bpm,duration
151,Demi Lovato,Heart Attack,2013,0.079,0.05,-0.005,7e-05,0.001,0.0024,0.05,0.174,211.0
152,Taylor Swift,We Are Never Ever Getting Back Together,2013,0.068,0.063,-0.006,1e-05,0.0009,0.0012,0.075,0.086,193.0
153,Kesha,Die Young,2013,0.07,0.071,-0.005,0.0,0.0005,0.0022,0.08,0.128,212.0
154,Zedd,Clarity,2013,0.078,0.051,-0.003,4e-05,0.0007,0.0007,0.018,0.128,271.0
155,Lana Del Rey,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,2013,0.081,0.057,-0.006,2e-05,0.0006,0.0013,0.011,0.126,215.0
156,Calvin Harris,Under Control,2013,0.092,0.054,-0.003,0.00013,0.0008,0.0012,0.051,0.126,184.0
157,Neon Trees,Everybody Talks,2013,0.092,0.047,-0.004,0.0,0.0006,0.0031,0.073,0.155,177.0
158,Drake,"Hold On, We're Going Home",2013,0.041,0.077,-0.007,0.0,0.001,0.0007,0.029,0.1,228.0
159,One Direction,Best Song Ever,2013,0.088,0.065,-0.003,2e-05,0.0005,0.0008,0.049,0.118,200.0
160,One Direction,Kiss You,2013,0.093,0.063,-0.003,2e-05,0.0006,0.0032,0.091,0.09,183.0
161,Calvin Harris,Sweet Nothing (feat. Florence Welch),2013,0.093,0.057,-0.004,0.0002,0.0011,0.0006,0.058,0.128,213.0
162,Daft Punk,Lose Yourself to Dance,2013,0.066,0.083,-0.008,8e-05,0.0006,0.0008,0.067,0.1,354.0
163,Britney Spears,Work Bitch,2013,0.082,0.063,-0.007,0.00016,0.0016,0.0007,0.085,0.128,248.0
164,Sara Bareilles,Brave,2013,0.084,0.055,-0.004,1e-05,0.0005,0.0004,0.076,0.185,221.0
165,Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),2013,0.093,0.063,-0.004,3e-05,0.0008,0.001,0.088,0.146,258.0
166,Pitbull,Feel This Moment (feat. Christina Aguilera),2013,0.076,0.067,-0.004,4e-05,0.0016,0.0034,0.054,0.136,230.0
167,Labrinth,Beneath Your Beautiful,2013,0.052,0.056,-0.006,0.00023,0.0004,0.001,0.023,0.084,272.0
168,Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),2013,0.068,0.066,-0.007,0.00025,0.0004,0.0037,0.025,0.125,252.0
169,Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),2013,0.053,0.078,-0.007,6e-05,0.0029,0.0005,0.066,0.095,236.0
170,OneRepublic,If I Lose Myself - Alesso vs OneRepublic,2013,0.075,0.052,-0.006,0.00026,0.0004,0.0014,0.016,0.126,215.0
171,Ariana Grande,The Way,2013,0.088,0.065,-0.003,0.00029,0.0011,0.0008,0.086,0.082,227.0
172,Justin Timberlake,Suit & Tie,2013,0.06,0.08,-0.004,1e-04,0.0022,0.0016,0.036,0.102,326.0
173,will.i.am,#thatPOWER,2013,0.061,0.08,-0.006,0.0,0.0006,0.0007,0.04,0.128,280.0
174,Icona Pop,I Love It (feat. Charli XCX),2013,0.091,0.071,-0.003,1e-05,0.0003,0.0015,0.082,0.126,157.0
175,David Guetta,Play Hard (feat. Ne-Yo & Akon) - New Edit,2013,0.087,0.072,-0.003,4e-05,0.0004,0.0066,0.068,0.13,209.0
176,Maroon 5,Daylight,2013,0.067,0.066,-0.005,0.0,0.0003,0.0026,0.037,0.12,225.0
177,Maroon 5,Love Somebody,2013,0.078,0.068,-0.006,0.00013,0.0004,0.0012,0.04,0.12,230.0
178,Fergie,A Little Party Never Killed Nobody (All We Got),2013,0.062,0.076,-0.006,1e-05,0.0018,0.0009,0.052,0.13,241.0
179,Little Mix,Move,2013,0.074,0.085,-0.005,0.0,0.0009,0.0055,0.077,0.121,224.0
180,The Wanted,Walks Like Rihanna,2013,0.082,0.056,-0.003,1e-05,0.0006,0.001,0.043,0.126,202.0
181,Avril Lavigne,Rock N Roll,2013,0.096,0.047,-0.003,1e-05,0.0013,0.0034,0.067,0.184,207.0
182,Justin Bieber,Heartbreaker,2013,0.052,0.056,-0.007,0.00014,0.001,0.0034,0.058,0.105,263.0
183,Justin Timberlake,Mirrors - Radio Edit,2013,0.06,0.058,-0.006,0.00014,0.0005,0.0043,0.065,0.077,277.0
184,Emeli Sandé,Next To Me,2013,0.08,0.067,-0.005,9e-05,0.0004,0.0011,0.035,0.095,197.0
185,Demi Lovato,Made In The USA,2013,0.086,0.058,-0.004,0.0,0.0004,0.0032,0.059,0.087,196.0
186,Emeli Sandé,Clown,2013,0.023,0.045,-0.008,0.00092,0.0004,0.0011,0.023,0.13,221.0
187,Alicia Keys,Girl On Fire (feat. Nicki Minaj) - Inferno Version,2013,0.081,0.055,-0.006,9e-05,0.0031,0.0015,0.034,0.093,271.0
188,Justin Timberlake,TKO,2013,0.068,0.061,-0.007,1e-05,0.0024,0.0043,0.049,0.138,424.0
189,Selena Gomez,Come & Get It,2013,0.079,0.055,-0.004,1e-05,0.0005,0.001,0.058,0.08,232.0
190,Jennifer Lopez,Live It Up,2013,0.073,0.069,-0.005,1e-05,0.0017,0.0033,0.065,0.128,244.0
191,The Wanted,We Own The Night,2013,0.094,0.055,-0.004,1e-05,0.0013,0.0023,0.056,0.104,206.0
192,Coldplay,Atlas - From The Hunger Games: Catching Fire Soundtrack,2013,0.045,0.028,-0.008,0.00063,0.0003,0.0011,0.011,0.136,236.0
193,Austin Mahone,What About Love,2013,0.078,0.063,-0.007,0.0,0.0004,0.0004,0.028,0.1,203.0
194,Justin Timberlake,Take Back the Night,2013,0.066,0.059,-0.005,4e-05,0.0016,0.0064,0.033,0.107,353.0
195,Lady Gaga,Applause,2013,0.078,0.067,-0.004,3e-05,0.0005,0.0011,0.073,0.14,212.0
196,Ellie Goulding,Anything Could Happen,2013,0.078,0.07,-0.004,0.00043,0.0003,0.0014,0.038,0.103,286.0
197,Enrique Iglesias,Finally Found You,2013,0.088,0.062,-0.005,1e-05,0.001,0.0035,0.066,0.128,221.0
198,Jonas Brothers,Pom Poms,2013,0.098,0.068,-0.002,7e-05,0.0009,0.0028,0.09,0.148,198.0
199,Mariah Carey,#Beautiful,2013,0.076,0.068,-0.005,0.00029,0.0004,0.0031,0.045,0.107,200.0
